# raw data taken from Too Close to Call https://docs.google.com/file/d/0B9hKZEGlI3lXLUx5eDBhRzJDYVU/view?sle=true

Comté 	  PLQ   	 PQ	  CAQ   	 PV	  QS  	  ON
Abitibi-est	 38.7	 41.3	 15.7	 0.2	  4.2	 0.0
Abitibi-ouest	   23.0	 55.6	 18.7	 0.2	  2.4	 0.0
Acadie	  57.7	 19.4	 12.8	 4.3	  5.9	 0.0
Anjou-Louis-Riel	41.5	 32.7	 16.2	 3.4	  6.2	 0.0
Argenteuil	  34.5	 33.5	 25.5	 2.9	  3.6	 0.0
Arthabaska	  31.9	 25.7	 34.2	 2.0	  6.1	 0.0
Beauce-Nord	 29.3	 11.6	 50.9	 1.7	  6.6	 0.0
Beauce-Sud	  35.1	 12.3	 44.6	 2.1	  5.8	 0.0
Beauharnois	 22.1	 44.8	 25.2	 2.8	  5.2	 0.0
Bellechasse	 36.1	 17.0	 40.1	 0.2	  6.6	 0.0
Berthier	14.6	 40.6	 35.0	 3.2	  6.6	 0.0
Bertrand	22.6	 45.3	 23.8	 3.2	  5.1	 0.0
Blainville	  21.1	 38.8	 31.4	 3.2	  5.4	 0.0
Bonaventure	 43.0	 35.6	 11.7	 1.1	  8.6	 0.0
Borduas	 19.4	 45.3	 25.4	 3.8	  6.0	 0.0
Bourassa-Sauve	  52.3	 25.2	 16.1	 0.6	  5.8	 0.0
Bourget	 22.0	 48.3	 17.9	 4.3	  7.5	 0.0
Brome-Missisquoi	36.6	 23.9	 29.7	 3.7	  6.2	 0.0
Chambly	 20.3	 41.7	 28.7	 3.6	  5.7	 0.0
Champlain	   24.3	 38.8	 31.0	 0.1	  5.7	 0.0
Chapleau	43.0	 26.3	 21.3	 4.8	  4.6	 0.0
Charlesbourg	31.9	 25.6	 35.1	 0.4	  7.0	 0.0
Charlevoix-Côte-de-Beaupré	  22.3	 43.3	 27.4	 2.2	  4.7	 0.0
Chateauguay	 33.5	 34.8	 23.7	 3.5	  4.5	 0.0
Chauveau	23.8	 22.6	 45.4	 0.4	  7.8	 0.0
Chicoutimi	  34.5	 43.6	 15.8	 0.2	  5.9	 0.0
Chomedey	56.2	 17.0	 19.7	 3.0	  4.1	 0.0
Chutes-de-la-Chaudière	  21.5	 23.5	 46.7	 0.2	  8.1	 0.0
Côte-du-Sud	 34.9	 23.6	 34.3	 1.9	  5.3	 0.0
Cremazie	31.3	 42.5	 14.7	 3.4	  8.2	 0.0
D'Arcy-McGee	79.5	 1.4	  10.9	 5.2	  3.0	 0.0
Deux-Montagnes	  20.5	 41.3	 28.4	 4.7	  5.0	 0.0
Drummond-Bois-Francs	29.3	 30.8	 32.5	 0.2	  7.2	 0.0
Dubuc	   36.0	 40.0	 18.5	 0.2	  5.4	 0.0
Duplessis	   27.3	 49.8	 15.8	 2.6	  4.5	 0.0
Fabre	   37.9	 31.1	 22.4	 3.5	  5.0	 0.0
Gaspé	   42.4	 41.4	 13.2	 0.1	  3.0	 0.0
Gatineau	46.9	 30.0	 19.2	 1.4	  2.4	 0.0
Gouin	   10.5	 38.3	 12.7	 3.7	  34.7	0.0
Granby	  23.3	 24.0	 41.8	 3.0	  7.9	 0.0
Groulx	  24.5	 35.4	 30.9	 3.7	  5.5	 0.0
Hochelaga-Maisonneuve	   12.0	 52.1	 15.2	 4.9	  15.7	0.0
Hull	38.8	 33.1	 16.2	 1.1	  10.8	0.0
Huntingdon	  34.8	 24.9	 33.3	 0.4	  6.7	 0.0
lberville	   20.7	 38.6	 31.6	 3.7	  5.5	 0.0
iles-de-la-Madeleine	41.4	 43.1	 11.1	 1.9	  2.5	 0.0
Jacques-Cartier	 71.0	 4.4	  12.5	 9.0	  3.1	 0.0
Jean-Lesage	 27.7	 31.2	 30.8	 1.2	  9.1	 0.0
Jeanne Mance-Viger	  65.1	 13.5	 15.7	 0.6	  5.1	 0.0
Jean-Talon	  38.3	 28.9	 22.6	 4.0	  6.2	 0.0
Johnson	 19.1	 34.3	 36.6	 2.5	  7.5	 0.0
Joliette	17.3	 43.8	 30.4	 0.5	  8.0	 0.0
Jonquiere	   30.9	 45.5	 17.4	 0.2	  6.0	 0.0
Labelle	 16.9	 50.6	 23.8	 3.5	  5.2	 0.0
Lac-Saint-Jean	  23.1	 53.3	 17.4	 2.0	  4.2	 0.0
LaFontaine	  60.6	 17.2	 14.6	 3.3	  4.3	 0.0
La Peltrie	  27.2	 20.5	 44.1	 0.4	  7.7	 0.0
La Piniere	  50.5	 21.4	 22.2	 0.4	  5.5	 0.0
Laporte	 37.4	 30.2	 21.7	 5.0	  5.7	 0.0
La Prairie	  29.8	 40.2	 25.0	 0.4	  4.5	 0.0
L'Assomption	15.7	 40.4	 35.4	 2.8	  5.6	 0.0
Laurier-Dorion	  34.2	 32.1	 13.0	 5.4	  15.3	0.0
Laval des-Rapides	   34.6	 35.4	 21.7	 3.1	  5.1	 0.0
Laviolette	  47.0	 25.3	 22.4	 0.1	  5.1	 0.0
Levis	   30.3	 24.0	 37.3	 0.2	  8.2	 0.0
Lotbinière-Frontenac	38.6	 20.4	 35.3	 0.2	  5.6	 0.0
Louis-Hébert	35.9	 26.3	 29.9	 2.2	  5.6	 0.0
