# raw data taken from a Legermarketing survey:  http://www.ledevoir.com/documents/pdf/sondage_politique_provinciale.pdf

Comté                           	  PLQ   	  PQ    	  CAQ   	  PV    	  QS
Abitibi-est                     	  39.8  	  41.2  	  11.6  	  0.7   	  6.8 
Abitibi-ouest                   	  24.4  	  55.3  	  14.4  	  0.7   	  5.2 
Acadie                          	  58.0  	  18.4  	  8.3   	  7.0   	  8.3 
Anjou-Louis-Riel                	  41.9  	  31.4  	  11.6  	  5.2   	  10.0 
Argenteuil                      	  37.7  	  32.9  	  19.6  	  4.1   	  5.7 
Arthabaska                      	  34.6  	  25.3  	  28.8  	  2.5   	  8.8 
Beauce-Nord                     	  32.2  	  11.3  	  46.4  	  2.3   	  7.8 
Beauce-Sud                      	  38.1  	  12.0  	  40.0  	  2.8   	  7.1 
Beauharnois                     	  25.1  	  44.1  	  18.8  	  4.2   	  7.7 
Bellechasse                     	  39.1  	  16.9  	  35.4  	  0.8   	  7.8 
Berthier                        	  17.4  	  40.2  	  29.1  	  4.5   	  8.7 
Bertrand                        	  25.6  	  45.0  	  17.6  	  4.5   	  7.3 
Blainville                      	  24.0  	  38.6  	  25.5  	  4.5   	  7.5 
Bonaventure                     	  44.4  	  35.5  	  7.3   	  1.5   	  11.3 
Borduas                         	  22.4  	  44.7  	  19.2  	  5.3   	  8.5 
Bourassa-Sauve                  	  52.5  	  24.0  	  11.5  	  2.5   	  9.6 
Bourget                         	  23.2  	  46.2  	  13.1  	  6.1   	  11.4 
Brome-Missisquoi                	  39.5  	  23.2  	  23.6  	  5.1   	  8.6 
Chambly                         	  23.3  	  41.0  	  22.4  	  5.1   	  8.2 
Champlain                       	  27.1  	  38.5  	  25.4  	  0.5   	  8.5 
Chapleau                        	  44.6  	  25.1  	  15.7  	  7.7   	  6.9 
Charlesbourg                    	  34.5  	  25.2  	  29.7  	  1.7   	  8.8 
Charlevoix-Côte-de-Beaupré      	  25.0  	  42.8  	  21.9  	  3.7   	  6.6 
Chateauguay                     	  36.4  	  34.3  	  17.5  	  4.9   	  6.9 
Chauveau                        	  26.3  	  22.2  	  40.1  	  1.8   	  9.6 
Chicoutimi                      	  35.9  	  43.2  	  11.6  	  0.7   	  8.6 
Chomedey                        	  59.0  	  16.1  	  13.7  	  4.6   	  6.7 
Chutes-de-la-Chaudière          	  24.2  	  23.6  	  42.1  	  0.8   	  9.3 
